album_name,song,date,artist,Featured Artist,Featured Artist 2,Explicitness ,Chorus Words,Intro,Outro,Sentiment Score (Old),Sentiment,Sentiment Score,Adjusted,Color Words,Nature Words,Body Parts,Total Words,Unique Words,Lexical Diversity,Average Word Length,You Count,We Count,I Count,You Ratio,I Ratio,We Ratio,Dominant Pronoun,Bridge,Pre-Chorus,Temporal Words,Temporal Density
Fearless (Taylor's Version),Fifteen (Taylor’s Version),9/4/2021,Taylor Swift,,,Clean,44,FALSE,TRUE,0.516082823,Positive,0.516082823,FALSE,0,1,6,435,171,0.3931,3.61,39,4,8,0.0897,0.0184,0.0092,You Count,TRUE,FALSE,40,0.092
1989 (Taylor's Version),Bad Blood (feat. Kendrick Lamar) (Taylor’s Version),11/6/2023,"Taylor Swift, Kendrick Lamar",Kendrick Lamar,,Clean,59,TRUE,FALSE,-0.648241818,Negative,-0.648241818,FALSE,0,1,23,617,147,0.2382,3.36,38,25,16,0.0616,0.0259,0.0405,You Count,TRUE,TRUE,29,0.047
The Tortured Poets Department,Guilty as Sin?,4/19/2024,Taylor Swift,,,Clean,56,FALSE,TRUE,-0.460549444,Negative,-0.460549444,FALSE,1,5,14,375,170,0.4533,3.67,3,4,18,0.008,0.048,0.0107,I Count,TRUE,FALSE,10,0.0267
Speak Now,Better than Revenge,10/25/2010,Taylor Swift,,,Clean,62,TRUE,TRUE,-0.140854374,Negative,-0.648241818,TRUE,0,1,2,559,170,0.3041,3.64,33,0,19,0.059,0.034,0,You Count,TRUE,FALSE,12,0.0215
The Tortured Poets Department: The Anthology,I Hate It Here,4/19/2024,Taylor Swift,,,Clean,61,FALSE,TRUE,-0.474118143,Negative,-0.474118143,FALSE,0,3,3,427,170,0.3981,3.53,4,3,38,0.0094,0.089,0.007,I Count,TRUE,FALSE,16,0.0375
Speak Now,Dear John,10/25/2010,Taylor Swift,,,Clean,34,FALSE,TRUE,-0.634539604,Negative,-0.634539604,FALSE,1,4,3,400,169,0.4225,3.56,26,3,22,0.065,0.055,0.0075,You Count,TRUE,FALSE,25,0.0625
Speak Now (Taylor's Version),Dear John (Taylor’s Version),7/7/2023,Taylor Swift,,,Clean,34,FALSE,TRUE,-0.634539604,Negative,-0.634539604,FALSE,1,4,3,400,169,0.4225,3.56,26,3,22,0.065,0.055,0.0075,You Count,TRUE,FALSE,25,0.0625
The Tortured Poets Department: The Anthology,thanK you aIMee,4/19/2024,Taylor Swift,,,Explicit,44,FALSE,TRUE,-0.075550213,Negative,-0.609742904,TRUE,2,6,6,426,167,0.392,3.75,23,6,20,0.054,0.0469,0.0141,You Count,TRUE,TRUE,23,0.054
The Tortured Poets Department,The Smallest Man Who Ever Lived,4/19/2024,Taylor Swift,,,Explicit,40,FALSE,TRUE,-0.804505348,Negative,-0.804505348,FALSE,0,4,2,330,166,0.503,3.73,26,7,11,0.0788,0.0333,0.0212,You Count,TRUE,FALSE,12,0.0364
Midnights,You're Losing Me,11/29/2023,Taylor Swift,,,Clean,28,FALSE,TRUE,-0.594530284,Negative,-0.594530284,FALSE,1,1,8,437,165,0.3776,3.56,36,8,21,0.0824,0.0481,0.0183,You Count,TRUE,TRUE,6,0.0137
Fearless (Taylor's Version),Breathe (Taylor’s Version) [feat. Colbie Caillat],9/4/2021,"Taylor Swift, Colbie Caillat",Colbie Caillat,,Clean,17,FALSE,TRUE,-0.549116313,Negative,-0.549116313,FALSE,0,1,5,341,111,0.3255,3.35,16,5,25,0.0469,0.0733,0.0147,I Count,TRUE,TRUE,20,0.0587
Speak Now (Taylor's Version),Foolish One (Taylor’s Version) [From the Vault],7/7/2023,Taylor Swift,,,Clean,28,FALSE,TRUE,-0.185615376,Neutral,-0.185615376,FALSE,0,0,8,498,164,0.3293,3.86,24,2,11,0.0482,0.0221,0.004,You Count,TRUE,TRUE,31,0.0622
